,sy_dist
1477,1139.55
1478,757.044
1479,757.044
1480,757.044
1481,757.044
1482,400.331
1483,400.331
1484,400.331
1485,400.331
1486,400.331
1487,624.368
1488,624.368
1489,624.368
1490,624.368
1491,624.368
1492,341.925
1493,341.925
1494,341.925
1495,341.925
1496,341.925
1497,341.925
1498,341.925
1499,229.518
1500,229.518
1501,229.518
1502,229.518
1503,229.518
1504,229.518
1505,639.004
1506,639.004
1507,639.004
1508,494.182
1509,494.182
1510,494.182
1511,494.182
1512,494.182
1513,494.182
1514,494.182
1515,494.182
1516,471.158
1517,471.158
1518,471.158
1519,471.158
1520,471.158
1521,861.843
1522,861.843
1523,861.843
1524,861.843
1525,861.843
1526,816.988
1527,816.988
1528,816.988
1529,816.988
1530,816.988
1531,535.383
1532,535.383
1533,535.383
1534,535.383
1535,353.891
1536,353.891
1537,353.891
1538,353.891
1539,353.891
1540,411.211
1541,411.211
1542,411.211
1543,411.211
1544,411.211
1545,411.211
1546,411.211
1547,411.211
1548,342.14
1549,342.14
1550,342.14
1551,342.14
1552,342.14
1553,773.974
1554,773.974
1555,773.974
1556,745.116
1557,745.116
1558,745.116
1559,745.116
1560,248.46
1561,248.46
1562,248.46
1563,248.46
1564,248.46
1565,248.46
1566,248.46
1567,508.842
1568,508.842
1569,508.842
1570,508.842
1571,514.555
1572,514.555
1573,514.555
1574,514.555
1575,514.555
1576,856.436
1577,856.436
1578,856.436
1579,856.436
1580,211.896
1581,343.525
1582,343.525
1583,343.525
1584,878.521
1585,878.521
1586,878.521
1587,878.521
1588,878.521
1589,416.459
1590,416.459
1591,416.459
1592,416.459
1593,416.459
1594,416.459
1595,416.459
1596,1342.29
1597,1342.29
1598,1342.29
1599,1342.29
1600,737.668
1601,737.668
1602,737.668
1603,737.668
1604,737.668
1605,800.377
1606,800.377
1607,800.377
1608,800.377
1609,800.377
1610,362.273
1611,362.273
1612,362.273
1613,362.273
1614,362.273
1615,362.273
1616,446.035
1617,446.035
1618,446.035
1619,772.11
1620,772.11
1621,772.11
1622,772.11
1623,772.11
1624,453.808
1625,453.808
1626,453.808
1627,453.808
1628,453.808
1629,300.67
1630,300.67
1631,300.67
1632,300.67
1633,263.609
1634,263.609
1635,263.609
1636,263.609
1637,324.413
1638,324.413
1639,246.384
1640,246.384
1641,246.384
1642,246.384
1643,246.384
1644,246.384
1645,246.384
1646,756.742
1647,389.57
1648,389.57
1649,389.57
1650,389.57
1651,389.57
1652,555.134
1653,555.134
1654,555.134
1655,555.134
1656,585.77
1657,585.77
1658,585.77
1659,585.77
1660,748.585
1661,748.585
1662,748.585
1663,609.838
1664,609.838
1665,609.838
1666,609.838
1667,564.409
1668,564.409
1669,564.409
1670,564.409
1671,279.485
1672,279.485
1673,279.485
1674,279.485
1675,279.485
1676,403.591
1677,403.591
1678,403.591
1679,403.591
1680,642.884
1681,642.884
1682,642.884
1683,642.884
1684,169.318
1685,169.318
1686,169.318
1687,169.318
1688,169.318
1689,169.318
1690,486.474
1691,486.474
1692,486.474
1693,486.474
1694,486.474
1695,679.761
1696,679.761
1697,679.761
1698,523.067
1699,623.232
1700,623.232
1701,623.232
1702,623.232
1703,1080.15
1704,1080.15
1705,1080.15
1706,1080.15
1707,493.32
1708,493.32
1709,1477.98
1710,1477.98
1711,1477.98
1712,960.109
1713,960.109
1714,960.109
1715,960.109
1716,603.955
1717,603.955
1718,603.955
1719,603.955
1720,603.955
1721,414.537
1722,414.537
1723,414.537
1724,414.537
1725,240.707
1726,240.707
1727,240.707
1728,240.707
1729,240.707
1730,1458.83
1731,1458.83
1732,1458.83
1733,1458.83
1734,1458.83
1735,140.225
1736,140.225
1737,140.225
1738,140.225
1739,127.589
1740,127.589
1741,127.589
1742,127.589
1743,299.389
1744,299.389
1745,194.964
1746,194.964
1747,385.689
1748,385.689
1749,436.176
1750,436.176
1751,794.637
1752,794.637
1753,638.7
1754,638.7
1755,638.7
1756,638.7
1757,638.7
1758,638.7
1759,109.677
1760,137.178
1761,137.178
1762,49.5336
1763,49.5336
1764,49.5336
1765,38.9607
1766,38.9607
1767,38.9607
1768,38.9607
1769,38.9607
1770,38.9607
1771,38.9607
1772,38.9607
1773,38.9607
1774,38.9607
1775,38.9607
1776,38.9607
1777,30.0274
1778,30.0274
1779,39.5792
1780,39.5792
1781,39.5792
1782,39.5792
1783,39.5792
1784,29.3386
1785,29.3386
1786,29.3386
1787,29.3386
1788,347.097
1789,347.097
1790,347.097
1791,217.107
1792,217.107
1793,217.107
1794,9.2894
1795,62.758
1796,121.89
1797,121.89
1798,121.89
1799,57.1463
1800,57.1463
1801,45.5352
1802,56.4089
1803,55.5213
1804,55.5213
1805,26.4997
1806,20.3632
1807,20.3632
1808,20.3632
1809,20.3632
1810,20.3632
1811,135.374
1812,135.374
1813,135.374
1814,135.374
1815,100.576
1816,100.576
1817,100.576
1818,70.0837
1819,70.0837
1820,55.2411
1821,38.185
1822,38.185
1823,38.185
1824,38.185
1825,38.185
1826,93.808
1827,93.808
1828,93.808
1829,93.808
1830,109.353
1831,109.353
1832,109.353
1833,109.353
1834,109.353
1835,109.353
1836,109.353
1837,109.353
1838,109.353
1839,109.353
1840,109.353
1841,109.353
1842,109.353
1843,109.353
1844,17.3357
1845,17.3357
1846,34.0915
1847,34.0915
1848,34.0915
1849,34.0915
1850,103.029
1851,103.029
1852,33.1205
1853,33.1205
1854,33.1205
1855,33.1205
1856,33.1205
1857,33.1205
1858,49.4156
1859,49.4156
1860,49.4156
1861,38.92
1862,38.92
1863,38.6846
1864,64.5978
1865,64.5978
1866,64.5978
1867,64.5978
1868,64.5978
1869,64.5978
1870,64.5978
1871,64.5978
1872,64.5978
1873,64.5978
1874,64.5978
1875,64.5978
1876,64.5978
1877,64.5978
1878,64.5978
1879,64.5978
1880,64.5978
1881,48.9102
1882,48.9102
1883,164.742
1884,164.742
1885,164.742
1886,59.5175
1887,59.5175
1888,59.5175
1889,59.5175
1890,59.5175
1891,59.5175
1892,59.5175
1893,59.5175
1894,59.5175
1895,59.5175
1896,59.5175
1897,59.5175
1898,67.8349
1899,67.8349
1900,55.8716
1901,55.8716
1902,55.4156
1903,63.0821
1904,63.0821
1905,63.0821
1906,116.506
1907,79.5561
1908,79.5561
1909,79.5561
1910,79.5561
1911,42.5279
1912,100.758
1913,100.758
1914,100.758
1915,32.1585
1916,32.1585
1917,32.1585
1918,32.1585
1919,32.1585
1920,32.1585
1921,105.096
1922,105.096
1923,106.307
1924,106.307
1925,106.307
1926,106.307
1927,106.307
1928,45.0858
1929,44.3804
1930,28.9571
1931,28.9571
1932,28.9571
1933,28.9571
1934,28.9571
1935,28.9571
1936,28.9571
1937,28.9571
1938,114.166
1939,33.2237
1940,33.2237
1941,62.07324
1942,101.166
1943,323.335
1944,36.18
1945,36.18
1946,36.18
1947,36.18
1948,155.121
1949,16.2817
1950,16.2817
1951,16.2817
1952,16.2817
1953,116.334
1954,95.3906
1955,27.9243
1956,27.9243
1957,37.8063
1958,37.8063
1959,37.8063
1960,37.8063
1961,37.8063
1962,21.0628
1963,21.0628
1964,21.0628
1965,21.0628
1966,21.0628
1967,21.0628
1968,21.0628
1969,38.9679
1970,51.261
1971,51.261
1972,51.261
1973,51.261
1974,51.261
1975,51.261
1976,51.261
1977,51.261
1978,51.261
1979,51.261
1980,51.261
1981,10.9816
1982,10.9816
1983,87.6437
1984,87.6437
1985,123.245
1986,123.245
1987,123.245
1988,32.3547
1989,32.3547
1990,32.3547
1991,32.3547
1992,32.3547
1993,32.3547
1994,32.3547
1995,235.045
1996,235.045
1997,37.7781
1998,37.7781
1999,37.7781
2000,37.7781
2001,92.2589
2002,92.2589
2003,92.2589
2004,92.2589
2005,92.2589
2006,92.2589
2007,92.2589
2008,33.5369
2009,33.5369
2010,33.5369
2011,33.5369
2012,33.5369
2013,33.5369
2014,67.9331
2015,67.9331
2016,67.9331
2017,103.044
2018,103.044
2019,103.044
2020,103.044
2021,103.044
2022,41.6592
2023,41.6592
2024,31.7627
2025,31.7627
2026,53.2528
2027,60.1977
2028,48.3367
2029,39.3466
2030,153.647
2031,153.647
2032,153.647
2033,28.1989
2034,28.1989
2035,57.6207
2036,57.6207
2037,57.6207
