,pl_orbper
1863,2990.0
1864,3.795963
1865,3.79523
1866,3.79588997
1867,3.79666
1868,6.203688
1869,6.2037
1870,6.203449
1871,6.20362189
1872,14.175876
1873,14.17589473
1874,14.17555
1875,14.175685
1876,19.59015781
1877,19.590186
1878,19.5917
1879,19.590025
1880,29.54115
1881,1129.0
1882,1148.0
1883,443.39999
1884,443.4
1885,437.7
1886,395.8
1887,397.5
1888,395.38
1889,394.48123
1890,395.4
1892,394.48
1893,1605.8
1894,1743.2
1895,1680.0
1897,1624.0
1898,68.27
1899,68.27
1900,7.8543
1901,30.93
1902,520.1
1903,5.24
1904,5.24
1905,5.239891
