,st_dens,st_logg
5236,0.4593,4.12
5250,2.3946,4.57
5273,1.49,4.45
5281,1.7031,4.49
5285,0.8009,4.27
5307,0.7758,4.28
5313,0.6528,4.23
5316,2.0285,4.51
5333,0.1703,3.81
5352,2.438,4.57
5359,2.4376,4.57
5360,2.6671,4.59
5369,1.1757,4.38
5377,0.326,4.02
5391,1.3056,4.42
5403,0.9754,4.34
5404,0.3341,4.03
5410,0.519,4.16
5423,1.2129,4.43
5426,0.067,3.58
5432,0.2082,3.89
5444,0.216,3.89
5454,0.244,3.93
5466,3.0013,4.62
5486,14.1169,4.94
5488,1.0073,4.35
5494,0.5314,4.19
5504,0.2333,3.93
5510,2.3803,4.53
5519,2.8304,4.62
5521,1.1,4.26
5522,1.1844,4.41
5525,1.2236,4.41
5547,0.3329,4.03
5560,0.5269,4.17
5566,2.8719,4.62
5573,3.3275,4.65
5579,2.7069,4.53
5584,2.585,4.63
5585,2.3406,4.56
5586,2.4869,4.58
5592,0.3948,4.08
5601,3.0434,4.6
5607,4.0506,4.66
5625,0.554,4.17
5643,0.5762,4.2
5654,2.2469,4.55
5659,30.5781,5.07
5662,0.9449,4.35
5665,0.6098,4.23
5666,0.6062,4.23
5672,1.5415,4.48
5675,6.4689,4.77
5683,7.3,5.2
5684,0.5297,4.17
5687,0.8058,4.3
5694,1.8352,4.5
5701,0.5146,4.2
5722,1.1271,4.37
5738,1.8463,4.49
5743,0.2646,3.96
5748,0.6211,4.23
5760,1.1168,4.37
5767,1.2396,4.41
5771,0.3576,4.04
5772,5.8948,4.76
5776,0.8418,4.31
5784,1.8956,4.47
5789,5.923,4.75
5808,1.992,4.54
5814,1.6531,4.48
5829,5.5716,4.79
5835,0.8146,4.28
5857,0.3412,4.04
5861,1.5301,4.45
5866,1.781,4.48
5867,1.8796,4.52
5890,0.2557,3.96
5896,1.2063,4.4
5901,1.87,4.51
5904,1.73,4.47
5909,1.902,4.47
5914,1.8173,4.47
5926,1.1269,4.38
5939,2.0168,4.51
5942,0.9864,4.33
5955,0.797,4.29
5956,0.766,4.28
5958,0.7993,4.3
5960,0.2145,3.9
5961,28.2818,5.05
5980,0.5717,4.21
5995,0.4672,4.12
6005,0.3113,4.02
6023,1.9053,4.51
6048,1.7131,4.49
6069,1.3679,4.42
6078,2.3356,4.56
6088,0.4661,4.13
6108,0.0606,3.52
6112,5.7082,4.74
6127,1.0226,4.36
6139,1.148,4.42
6153,2.5771,4.59
6155,3.1307,4.66
6173,3.0256,4.63
6191,1.9087,4.49
6194,0.8678,4.32
6204,1.0486,4.33
6210,4.9144,4.71
6216,1.1044,4.37
6221,2.2014,4.56
6236,0.4152,4.08
6258,1.7337,4.5
6267,1.5733,4.47
6272,1.3866,4.42
6274,1.4239,4.39
6275,1.2628,4.39
6278,1.2394,4.4
6302,1.1196,4.37
6312,0.3087,4.02
6315,0.5006,4.14
6331,1.2822,4.42
6340,0.6835,4.23
6355,1.8364,4.51
6365,1.4611,4.43
6369,0.7696,4.28
6378,1.6403,4.47
6381,5.0496,4.71
6396,1.0571,4.35
6398,3.6162,4.64
6429,0.1665,3.83
6438,3.0734,4.61
6442,2.8778,4.59
6456,1.2316,4.4
6467,0.51,4.16
6480,1.0848,4.38
6507,1.6981,4.48
6515,0.5714,4.19
6533,0.9319,4.5
6534,1.1784,4.42
6548,0.3247,4.03
6570,1.8701,4.53
6578,0.5181,4.26
6579,0.2584,3.95
6609,0.0926,3.68
6613,1.4057,4.44
6614,1.5725,4.48
6620,0.5603,4.2
6633,0.8137,4.29
