,st_age,st_lum
40809,1.0,-1.947
40812,5.0,-2.356
40816,5.0,-2.42
40818,5.0,-2.526
40826,7.0,-1.839
40836,5.0,-2.721
40850,0.5,-2.638
40855,0.5,-2.697
40858,7.2,-2.841
40859,2.0,-1.699
40876,3.1,-1.783
40885,1.9,-0.149
40898,0.8,1.083
40900,1.0,1.176
40901,0.8,1.087
41041,4.23,0.517
41069,6.39,0.283
41070,4.77,0.446
41074,3.49,-0.292
41076,11.5,0.101
41078,7.9,0.514
41097,9.77,-0.592
41457,1.2,0.371
41493,5.0,-2.77
41501,0.005,-0.456
41536,4.1,-0.058
41571,3.2,0.3
41585,0.31,0.279
41592,0.17,-0.318
41594,0.53,0.056
41601,1.02,-0.514
41602,1.69,0.563
41607,8.3,0.228
41610,7.5,-0.821
41628,5.0,-2.441
41645,6.6,-3.078
41654,0.017,-0.25
41660,3.4,0.032
41677,5.7,0.078
41680,3.2,0.408
41685,3.47,0.61
41687,1.2,0.097
41692,3.8,0.067
41693,7.4,-1.385
41695,7.71,0.114
41704,9.4,-0.623
41712,2.6,0.671
41715,8.2,-0.854
41722,0.562,0.231
41728,0.7,-0.027
41733,5.9,-0.169
41740,2.7,-0.403
41743,5.0,-0.577
41746,2.7,0.642
41748,2.4,0.653
41750,5.3,-0.701
41755,4.9,-0.151
41758,4.2,0.304
41767,2.0,-1.854
41772,0.21,-1.697
41776,0.011,-2.6
41784,5.3,-1.054
41788,5.9,-0.629
41792,6.3,-0.301
41797,5.5,-0.3
41800,4.0,-0.101
41806,6.8,-0.285
41809,6.6,-0.293
41819,6.7,-0.889
41825,7.9,-1.58
41833,3.1,-0.22
41837,1.1,-0.426
41843,3.1,0.029
41849,4.2,-0.243
41854,12.1,-0.167
41855,6.5,-0.155
41859,6.2,0.368
41862,7.1,0.402
41864,6.9,0.39
41865,1.6,0.334
41866,4.3,0.321
41870,6.34,-0.222
41876,2.33,0.713
41890,0.8,-0.236
41891,1.4,-0.26
41896,3.2,0.01
41897,3.3,0.017
41901,2.7,0.471
41907,6.6,-0.622
41909,9.6,-1.013
41917,10.7,-0.152
41921,4.6,0.033
41922,5.1,0.048
41924,0.29,1.068
41927,6.7,0.264
41932,4.6,0.441
41938,7.4,-0.42
41941,3.8,-0.176
41952,4.0,0.024
41960,7.2,-1.373
41962,13.4,-1.42
41969,1.3,-1.425
41971,2.3,-0.356
41974,9.1,-0.013
41981,2.346,0.497
41990,12.82,0.02
41993,2.4,0.748
41994,2.64,0.732
41998,1.823,0.636
42006,7.7,-0.036
42023,1.0,-1.515
42024,1.3,-1.519
42026,4.7,0.253
42031,6.6,-0.031
42038,4.3,-0.418
42048,7.1,-2.125
42050,1.5,-0.063
42051,2.8,-0.048
42056,7.4,0.461
42061,4.8,0.064
42062,7.1,-1.056
42068,4.9,0.25
42069,9.2,0.271
42073,6.3,-0.524
42074,3.9,0.121
42083,9.0,0.297
42085,5.9,-0.07
42088,7.5,-0.373
42092,5.0,-1.057
42093,15.1,-1.149
42094,5.0,-1.051
42096,0.8,-0.316
42100,5.1,-0.053
42105,7.1,-0.879
42111,2.73,0.736
42112,10.8,0.197
42116,2.6,-0.416
42122,5.1,-0.062
42126,13.3,-1.328
42128,0.7,-1.23
42135,0.18,-0.671
42136,0.3,-0.668
42138,2.1,-0.533
42139,5.4,-0.526
42142,5.9,-0.56
42148,6.3,-0.461
42152,2.5,-0.373
42155,3.2,0.57
42159,2.5,0.695
42161,2.49,0.74
42168,8.2,-0.095
42176,3.1,0.551
42183,3.6,0.08
42195,0.8,-0.338
42197,0.94,1.223
42201,5.3,0.06
42204,0.87,0.415
42211,1.9,0.114
42215,1.1,-1.979
42220,6.4,0.441
42224,4.5,0.387
42232,0.3,-0.387
42238,7.0,-1.311
42241,0.204,-0.423
42242,2.7,-0.378
42248,7.5,-1.492
42255,4.5,-0.362
42257,1.0,-1.459
42261,4.0,-2.228
42265,4.0,-0.105
42269,1.77,0.673
42274,4.7,0.156
42279,3.8,-0.717
42281,7.5,-1.886
42283,4.6,-1.886
42287,6.4,-0.05
42289,1.6,1.007
42291,1.8,0.997
42295,0.83,0.653
42300,2.9,0.435
42311,8.1,0.406
42316,5.5,0.25
42325,4.5,-0.004
42331,7.48,-0.401
42333,3.3,0.484
42336,2.52,0.533
42353,7.0,-0.013
42358,3.5,-0.252
42359,4.2,-0.275
42363,4.5,-2.387
42368,5.9,0.051
42375,6.0,-0.472
42377,4.3,-0.471
42391,4.9,0.197
42393,7.5,0.436
42399,7.0,-1.643
42414,1.0,1.167
42422,0.18,-0.08
42426,6.7,0.116
42427,3.99,-0.44
42433,7.23,0.464
42436,7.6,0.405
42444,4.4,0.079
42445,4.4,0.388
42451,6.7,0.471
42454,11.0,-0.004
42459,15.9,-1.137
42467,10.8,0.34
42484,5.5,0.16
42490,4.0,0.055
42493,3.7,0.336
42497,9.5,0.164
42502,4.7,0.246
42507,9.8,0.037
42510,4.5,0.116
42513,7.0,0.444
42526,6.5,-0.367
42528,8.7,0.325
42533,8.1,0.405
42536,2.1,-0.093
42546,2.14,0.739
42548,5.4,0.286
42553,6.0,0.19
42557,6.1,0.33
42560,9.8,-1.125
42563,3.3,0.283
42566,3.0,-0.344
