,st_mass,st_lum
4077,1.5,0.73
4079,0.83,-0.474
4080,0.86,-0.413
4083,0.81,-0.509
4086,1.5,1.0
4091,1.58,0.72
4095,1.39,1.057
4097,0.96,-0.132
4100,1.08,1.669
4103,0.98,0.149
4110,1.04,0.15
4125,1.05,0.246
4128,0.98,0.382
4130,0.98,0.007
4131,0.88,0.041
4134,0.95,-0.034
4136,0.85,0.028
4146,0.8,-0.501
4155,1.02,1.53
4156,1.09,1.52
4159,0.79,-0.518
4161,1.63,0.768
4167,1.4,0.629
4173,1.17,0.705
4176,1.4,0.662
4182,1.42,0.652
4183,1.1,0.181
4187,1.03,0.211
4190,1.14,0.204
4193,0.49,-1.486
4205,1.01,0.779
4207,1.0,0.57
4215,0.96,-0.09
4219,0.95,-0.177
4220,0.92,-0.203
4221,1.1,0.44
4225,1.2,0.415
4230,1.24,0.412
4232,1.23,0.39
4233,2.0,1.892
4239,1.8,2.378
4245,1.0,0.45
4252,1.45,0.66
4264,1.65,0.934
4271,0.94,-0.266
4275,1.07,0.204
4278,0.75,-0.481
4279,0.79,-0.48
4282,0.73,-0.48
4285,0.82,-0.453
4289,1.0,-0.056
4290,0.97,-0.027
4296,0.94,-0.057
4309,1.47,0.685
4313,1.37,0.6
4327,0.98,-0.043
4332,1.0,0.453
4334,1.14,0.38
4335,1.05,0.37
4336,1.15,0.382
4337,1.25,0.245
4338,1.18,0.322
4343,1.28,0.259
4350,1.17,0.298
4372,2.6,1.643
4376,0.48,-1.49
4379,0.42,-1.523
